insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Абрикосов ', 'АА', 'Воронеж, ул. Стоический, 51');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Томатов ', 'УТ', 'Форт Вэйн, ул. Дикий, 4661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Томатов ', 'УТ', 'Яксон, ул. Неописуемый, 711');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Туфель ', 'УТ', 'Амерсфоорт, ул. Злой, 1781');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Туфель ', 'УТ', 'Долинская, ул. Сплошной, 2791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Училиищ', 'УУ', 'Алькмаар, ул. Экстремальный, 721');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Училиищ', 'УУ', 'Вет-Ридж, ул. Беспримерный, 1991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Училиищ', 'УУ', 'Мапл-Ридж, ул. Тяжелый, 4141');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Училиищ', 'УУ', 'Эд, ул. Азартный, 3001');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Хорватов ', 'УХ', 'Андрия, ул. Наглядный, 1151');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Хорватов ', 'УХ', 'Лениградский, ул. Безбожный, 1571');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Хорватов ', 'УХ', 'Хантингтон-Парк, ул. Необоримый, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Хором', 'УХ', 'Брук, ул. Беспросыпный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Хором', 'УХ', 'Сонсонат, ул. Излишний, 1261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цапель', 'УЦ', 'Ильинский, ул. Острый, 1281');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цапель', 'УЦ', 'Электроугли, ул. Звериный, 4971');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Центнеров ', 'УЦ', 'Монтроз, ул. Значительный, 851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Центнеров ', 'УЦ', 'Оверленд-Парк, ул. Величайший, 4751');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цимбал', 'УЦ', 'Залесово, ул. Бесценный, 61');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цимбал', 'УЦ', 'Заставна, ул. Сумасшедший, 2121');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цимбал', 'УЦ', 'Йерингтон, ул. Невообразимый, 1841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цимбал', 'УЦ', 'Коболдо, ул. Возмутительный, 2131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цимбал', 'УЦ', 'Якшур-Бодья, ул. Изрядный, 3901');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цыган ', 'УЦ', 'Каменское, ул. Штормовой, 3351');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Цыган ', 'УЦ', 'Провиденс, ул. Грубый, 2111');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Читален ', 'УЧ', 'Очамчиров, ул. Клятвенный, 3421');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Читален ', 'УЧ', 'Харпенден, ул. Фанатичный, 1201');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Читален ', 'УЧ', 'Эль-Кампо, ул. Оглушительный, 961');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Чукчей', 'УЧ', 'Енвилл, ул. Убедительный, 801');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Чукчей', 'УЧ', 'Истгейт, ул. Шумный, 4851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Чукчей', 'УЧ', 'Сьюдад-Лердо, ул. Прирожденный, 2531');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Чукчей', 'УЧ', 'Таубати, ул. Седой, 2841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Чулок', 'УЧ', 'Дракут, ул. Раздирающий, 851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Чулок', 'УЧ', 'Лисвилл, ул. Животный, 2901');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шампиньон ', 'УШ', 'Аркадиа-Лейкс, ул. Клятвенный, 3421');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шампиньон ', 'УШ', 'Калмыково, ул. Настоящий, 1991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шампиньон ', 'УШ', 'Михайловград, ул. Неограниченный, 4111');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шаровар ', 'УШ', 'Беверли-Хиллс, ул. Глубочайший, 611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шаровар ', 'УШ', 'Стони-Пойнт, ул. Законченный, 1511');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шахмаат ', 'УШ', 'Врубовка, ул. Глубокий, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шахмаат ', 'УШ', 'Голборн, ул. Повальный, 2991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шахмаат ', 'УШ', 'Секьюрити, ул. Преклонный, 1241');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шахмаат ', 'УШ', 'Слаутер, ул. Невозможный, 01');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шорт ', 'УШ', 'Каражал, ул. Кардинальный, 3811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шорт ', 'УШ', 'Кокпекты, ул. Убедительный, 801');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шорт ', 'УШ', 'Пестово, ул. Сказочно, 3481');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шорт ', 'УШ', 'Сандерленд, ул. Неимоверный, 1341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шорт ', 'УШ', 'Свечье, ул. Отменный, 3921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шорт ', 'УШ', 'Селма, ул. Безмятежный, 4211');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Шпрот', 'УШ', 'Вилун, ул. Набитый, 4871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Штолен', 'УШ', 'Паркланд, ул. Наибольший, 2071');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Электронов ', 'УЭ', 'Вилла-Парк, ул. Непролазный, 2151');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Электронов ', 'УЭ', 'Фармерс-Бранч, ул. Гробовой, 2441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эллинов ', 'УЭ', 'Калкаман, ул. Недосягаемый, 1731');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эполет ', 'УЭ', 'Вентспилс, ул. Неутолимый, 1811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эполет ', 'УЭ', 'Иршава, ул. Неопровержимый, 3991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эскимосов ', 'УЭ', 'Винона, ул. Громкий, 3451');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эскимосов ', 'УЭ', 'Германтаун, ул. Форменный, 4611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эскимосов ', 'УЭ', 'Инсбрук, ул. Свирепый, 471');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эскимосов ', 'УЭ', 'Прескот, ул. Леденящий, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эскимосов ', 'УЭ', 'Россвилл, ул. Триумфальный, 4771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эскимосов ', 'УЭ', 'Сеченово, ул. Бурный, 171');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эфиопов', 'УЭ', 'Гералдин, ул. Титанический, 2801');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эфиопов', 'УЭ', 'Кара-Куль, ул. Страстный, 1261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Эфиопов', 'УЭ', 'Фуйисава, ул. Невиданный, 1381');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Яблонь ', 'УЯ', 'Парадайс-Вэлли, ул. Дикий, 4661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Яблонь ', 'УЯ', 'Хуст, ул. Насущный, 2191');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Яслей', 'УЯ', 'Моунт Юлит, ул. Триумфальный, 4771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Яслей', 'УЯ', 'Рулевилл, ул. Кардинальный, 3811');
